Word,month,frequency,year
信息技术,6,5,2020
农业机械,6,2,2020
新材料,6,4,2020
新能源汽车,6,2,2020
机器人,6,2,2020
海洋工程,6,1,2020
生物医药,6,2,2020
电力,6,6,2020
航天,6,1,2020
轨道交通,6,2,2020
信息技术,7,3,2020
农业机械,7,1,2020
新材料,7,2,2020
新能源汽车,7,2,2020
机器人,7,1,2020
海洋工程,7,0,2020
生物医药,7,4,2020
电力,7,7,2020
航天,7,10,2020
轨道交通,7,0,2020
信息技术,8,5,2020
农业机械,8,3,2020
新材料,8,4,2020
新能源汽车,8,2,2020
机器人,8,3,2020
海洋工程,8,0,2020
生物医药,8,2,2020
电力,8,5,2020
航天,8,4,2020
轨道交通,8,2,2020
信息技术,9,1,2020
农业机械,9,0,2020
新材料,9,1,2020
新能源汽车,9,0,2020
机器人,9,5,2020
海洋工程,9,1,2020
生物医药,9,3,2020
电力,9,2,2020
航天,9,5,2020
轨道交通,9,0,2020
信息技术,10,7,2020
农业机械,10,0,2020
新材料,10,3,2020
新能源汽车,10,4,2020
机器人,10,3,2020
海洋工程,10,1,2020
生物医药,10,2,2020
电力,10,5,2020
航天,10,9,2020
轨道交通,10,6,2020
信息技术,11,7,2020
农业机械,11,1,2020
新材料,11,4,2020
新能源汽车,11,5,2020
机器人,11,6,2020
海洋工程,11,0,2020
生物医药,11,3,2020
电力,11,6,2020
航天,11,12,2020
轨道交通,11,2,2020
信息技术,12,1,2020
农业机械,12,0,2020
新材料,12,2,2020
新能源汽车,12,0,2020
机器人,12,2,2020
海洋工程,12,0,2020
生物医药,12,1,2020
电力,12,3,2020
航天,12,21,2020
轨道交通,12,3,2020
信息技术,1,2,2021
农业机械,1,0,2021
新材料,1,5,2021
新能源汽车,1,6,2021
机器人,1,5,2021
海洋工程,1,0,2021
生物医药,1,3,2021
电力,1,3,2021
航天,1,5,2021
轨道交通,1,2,2021
信息技术,2,0,2021
农业机械,2,0,2021
新材料,2,0,2021
新能源汽车,2,0,2021
机器人,2,0,2021
海洋工程,2,0,2021
生物医药,2,0,2021
电力,2,12,2021
航天,2,9,2021
轨道交通,2,0,2021
信息技术,3,4,2021
农业机械,3,0,2021
新材料,3,2,2021
新能源汽车,3,0,2021
机器人,3,2,2021
海洋工程,3,0,2021
生物医药,3,3,2021
电力,3,4,2021
航天,3,7,2021
轨道交通,3,0,2021
信息技术,4,2,2021
农业机械,4,0,2021
新材料,4,3,2021
新能源汽车,4,5,2021
机器人,4,5,2021
海洋工程,4,0,2021
生物医药,4,4,2021
电力,4,5,2021
航天,4,15,2021
轨道交通,4,2,2021
信息技术,5,6,2021
农业机械,5,0,2021
新材料,5,6,2021
新能源汽车,5,4,2021
机器人,5,4,2021
海洋工程,5,0,2021
生物医药,5,2,2021
电力,5,10,2021
航天,5,19,2021
轨道交通,5,3,2021
信息技术,6,4,2021
